Event, optional label;Event label;Location name;Latitude;Longitude;Elevation;Date/Time;Date/Time end;Comment;TZ;UTC_diff [h];UTC_diff [min];DST;DST start;DST end;DST diff;;;;;;
Chesapeake Light;clh;North Atlantic Ocean;36.905;-75.713;37;01.06.2000;;"BSRN station no: 39; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669513; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov) ** Inactive, structural issues **";EDT;-4;0;y;11.03;4.11;1;;;;;;
Cocos Island;coc;Cocos (Keeling) Islands;-12.193;96.835;6;14.09.2004;;"BSRN station no: 47; Surface type: grass; Topography type: flat, rural; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)";CCT;6;30;n;;;;;;;;;
Concordia Station, Dome C;dom;Antarctica;-75.1;123.383;3233;01.01.2006;;"BSRN station no: 74; Surface type: glacier, accumulation area; Topography type: flat, rural; Station scientist: Angelo Lupi (a.lupi@isac.cnr.it)";CAST;8;0;n;;;;;;;;;
Darwin;dar;Australia;-12.425;130.891;30;01.06.2002;31.01.2015;"BSRN station no: 2; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed January 2015 **";ACST;9;30;n;;;;;;;;;
Darwin Met Office;dwn;Australia;-12.424;130.8925;32;01.04.2008;;"BSRN station no: 65; Surface type: grass; Topography type: flat, rural; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)";ACST;9;30;n;;;;;;;;;
De Aar;daa;South Africa;-30.6667;23.993;1287;01.05.2000;;"BSRN station no: 40; Surface type: sand; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669514; Station scientist: Lucky Ntsangwane (lucky.ntsangwane@weathersa.co.za)";SAST;2;0;n;;;;;;;;;
Desert Rock;dra;Nevada, United States of America;36.626;-116.018;1007;01.02.1998;;"BSRN station no: 35; Surface type: desert, gravel; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)";PDT;-7;0;y;11.03;4.11;1;;;;;;
Dongsha Atoll;don;Taiwan;20.7;116.73;;;;"BSRN Candidate. Station no: 55; Station scientist: Carlo Wang (carlo@cc.ncu.edu.tw)";CST;8;0;n;;;;;;;;;
Eastern North Atlantic;ena;Azores;39.0911;-28.0292;15;28.09.2013;;"BSRN station no: 77; Surface Type: grass; Topography type: hilly/rural; Horizon: doi:10.1594/PANGAEA.xxxxx; Station scientist: Charles Long (chuck.long@noaa.gov)";AZOT;-1;0;y;25.03;28.1;1;;;;;;
Eureka;eur;Ellesmere Island, Canadian Arctic Archipelago;79.989;-85.9404;85;01.09.2007;31.12.2011;"BSRN station no: 19; Surface type: tundra; Topography type: hilly, rural. ** Station inactive end of 2011, being revitalized **";CDT;-5;0;y;11.03;4.11;1;;;;;;
Florianopolis;flo;South Atlantic Ocean;-27.6047;-48.5227;11;01.06.1994;;"BSRN station no: 3; Surface type: concrete; Topography type: mountain valley, urban; Horizon: doi:10.1594/PANGAEA.669515; Station scientist: Sergio Colle (sergio.colle@ufsc.br)";BRT;-3;0;y;4.11;18.02;1;;;;;;
Fort Peck;fpe;Montana, United States of America;48.3167;-105.1;634;01.01.1995;;"BSRN station no: 31; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)";MDT;-6;0;y;11.03;4.11;1;;;;;;
Fukuoka;fua;Japan;33.5822;130.3764;3;01.04.2010;;"BSRN station no: 6; Surface type: asphalt; Topography type: flat, urban; Horizon from 2010 to 2014-12: doi:10.1594/PANGAEA.743875; Horizon after 2014-12: doi:10.1594/PANGAEA.845396; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)";JST;9;0;n;;;;;;;;;
Gandhinagar;gan;India;23.1101;72.6276;65;19.05.2014;;"BSRN Candidate. Station no: 58; Plain terrain, Soil type: Riverine Alluvial soil,Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)";IST;5;30;n;;;;;;;;;
Georg von Neumayer;gvn;Dronning Maud Land, Antarctica;-70.65;-8.25;42;01.01.1992;;"BSRN station no: 13; Surface type: iceshelf; Topography type: flat, rural; Horizon from 1992 to 2009-01: doi:10.1594/PANGAEA.669516; Horizon after 2009-01: doi:10.1594/PANGAEA.757811; Station scientist: Holger Schmith�sen (Holger.Schmithuesen@awi.de). St";GMT;0;0;y;18.03;28.1;2;;;;;;
Gobabeb;gob;Namib Desert, Namibia;-23.5614;15.042;407;15.05.2012;;"BSRN station no: 20; Surface Type: desert gravel; Topography type: flat rural; Station scientist: Roland Vogt (Roland.Vogt@unibas.ch)";CAT;2;0;n;;;;;;;;;
Goodwin Creek;gcr;Mississippi, United States of America;34.2547;-89.8729;98;01.01.1995;;"BSRN station no: 33; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)";CDT;-5;0;y;11.03;4.11;1;;;;;;
Gurgaon;gur;India;28.4249;77.156;259;21.04.2014;;"BSRN Candidate. Station no: 56; Plain terrain, Soil : Medium black soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)";IST;5;30;n;;;;;;;;;
Howrah;how;India;22.5535;88.3064;51;15.06.2014;;"BSRN Candidate. Station no: 57; Plain terrain, Soil : Riverine Alluvial soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)";IST;5;30;n;;;;;;;;;
Ilorin;ilo;Nigeria;8.5333;4.5667;350;01.08.1992;31.07.2005;"BSRN station no: 38; Surface type: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669517; Latest station scientist: T O Aro. ** Inactive as of mid-2005, seeking funding **";WAT;1;0;n;;;;;;;;;
Ishigakijima;ish;Japan;24.3367;124.1644;6;01.04.2010;;"BSRN station no: 7; Surface type: asphalt; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743878; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)";JST;9;0;n;;;;;;;;;
Iza�a;iza;Tenerife, Spain;28.3093;-16.4993;2373;01.03.2009;;"BSRN station no: 61; Surface type: rock; Topography type: mountain top, rural; Station scientist: Emilio Cuevas-Agull� (ecuevasa@aemet.es)";WET;0;0;y;25.03;28.1;1;;;;;;
Kwajalein;kwa;North Pacific Ocean;8.72;167.731;10;01.03.1992;;"BSRN station no: 25; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669518; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov)";MHT;12;0;n;;;;;;;;;
Langley Research Center;lrc;Hampton, Virginia, USA;37.1038;-76.3872;3;01.12.2014;;"BSRN station no: 49; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.842549; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov)";EDT;-4;0;y;11.03;4.11;1;;;;;;
Lauder;lau;New Zealand;-45.045;169.689;350;01.07.1998;;"BSRN station no: 60; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669519; Station scientist: Nicole Hyett (N.Hyett@bom.gov.au)";NZDT;13;0;y;30.09;1.04;1;;;;;;
Lerwick;ler;Shetland Island, United Kingdom;60.1389;-1.1847;80;01.01.2001;;"BSRN station no: 51; Surface type: grass; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669520; Station scientist: Jonathan Tamlyn (jonathan.tamlyn@metoffice.gov.uk)";GMT;0;0;y;25.03;28.1;1;;;;;;
Lindenberg;lin;Germany;52.21;14.122;125;01.09.1994;;"BSRN station no: 12; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669521; Station scientist: Klaus Behrens (Klaus.Behrens@dwd.de)";CET;1;0;y;25.03;28.1;1;;;;;;
Lulin;lln;Taiwan;23.4686;120.8736;2862;20.01.2009;;"BSRN Candidate. Station no: 54; Surface type: Mixed forest; Topography type: mountain top, rural; Station scientist: Carlo Wang (carlo@cc.ncu.edu.tw)";CST;8;0;n;;;;;;;;;
Minamitorishima;mnm;Minami-Torishima;24.2883;153.9833;7;01.04.2010;;"BSRN station no: 8; Surface type: water (ocean); Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743879; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)";JST;9;0;n;;;;;;;;;
Momote;man;Papua New Guinea;-2.058;147.425;6;01.09.1996;31.10.2013;"BSRN station no: 29; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed late 2013 **";PGT;10;0;n;;;;;;;;;
Nauru Island;nau;Nauru;-0.521;166.9167;7;01.11.1998;30.09.2013;"BSRN station no: 30; Surface type: rock; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed late 2013 **";NRT;12;0;n;;;;;;;;;
Newcastle;new;Australia;-32.8842;151.7289;18;;;"BSRN Candidate. Station no: 52; Station scientist: Ben Duck (Benjamin.Duck@csiro.au)";AEDT;11;0;y;7.1;1.04;1;;;;;;
Ny-Alesund;nya;Ny-Alesund, Spitsbergen;78.925;11.93;11;01.08.1992;;"BSRN station no: 11; Surface type: tundra; Topography type: mountain valley, rural; Horizon: doi:10.1594/PANGAEA.669522; Station scientist: Marion.Maturilli@awi.de";CET;1;0;y;25.03;28.1;1;;;;;;
Palaiseau, SIRTA Observatory;pal;France;48.713;2.208;156;01.05.2003;;"BSRN station no: 63; Surface type: concrete; Topography type: flat, urban; Station scientist: Martial Haeffelin (martial.haeffelin@lmd.polytechnique.fr)";CET;1;0;y;25.03;28.1;1;;;;;;
Payerne;pay;Switzerland;46.815;6.944;491;01.09.1992;;"BSRN station no: 21; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669523; Station scientist: Laurent Vuilleumier (laurent.vuilleumier@meteoswiss.ch)";CET;1;0;y;25.03;28.1;1;;;;;;
Petrolina;ptr;Brazil;-9.068;-40.319;387;01.12.2006;;"BSRN station no: 72; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695900; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)";AMT;-4;0;n;;;;;;;;;
Regina;reg;Canada;50.205;-104.713;578;01.01.1995;31.12.2011;"BSRN station no: 5; Surface type: cultivated; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669524; ** Station closed end of 2011 **";CST;-6;0;n;;;;;;;;;
Rock Springs;psu;Pennsylvania, United States of America;40.72;-77.9333;376;01.05.1998;;"BSRN station no: 36; Surface type: cultivated; Topography type: mountain valley, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)";EDT;-4;0;y;11.03;4.11;1;;;;;;
Rolim de Moura;rlm;Brazil;-11.582;-61.773;252;01.01.2007;31.12.2007;"BSRN station no: 73; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695901; Latest station scientist: Enio Bueno Pereira (enio.pereira@inpe.br). ** Station closed 2008 **";AMT;-4;0;n;;;;;;;;;
Sapporo;sap;Japan;43.06;141.3286;17;01.04.2010;;"BSRN station no: 4; Surface type: asphalt; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.743878; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)";JST;9;0;n;;;;;;;;;
Sede Boqer;sbo;Israel;30.8597;34.7794;500;01.01.2003;;"BSRN station no: 43; Surface type: desert rock; Topography type: hilly, rural; Station scientist: Dr. Nurit Agam (agam@bgu.ac.il). ** Station closed 2012 **";IST;2;0;y;23.03;28.1;1;;;;;;
Sioux Falls;sxf;South Dakota, United States of America;43.73;-96.62;473;01.06.2003;;"BSRN station no: 37; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)";CDT;-5;0;y;11.03;4.11;1;;;;;;
Solar Village;sov;Saudi Arabia;24.91;46.41;650;01.08.1998;;"BSRN station no: 41; Surface type: desert, sand; Topography type: flat, rural; Station scientist: Naif Al-Abbadi (nabbadi@kacst.edu.sa)";AST;3;0;n;;;;;;;;;
Sonnblick;son;Austria;47.054;12.9577;3109;01.01.2013;;"BSRN station no: 75; Surface Type: rock; Topography type: mountain top, rural; Horizon: doi:10.1594/PANGAEA.808997; Station scientist: Marc Olefs (marc.olefs@zamg.ac.at)";CET;1;0;y;25.03;28.1;1;;;;;;
South Pole;spo;Antarctica;-89.983;-24.799;2800;01.01.1992;;"BSRN station no: 26; Surface type: glacier, accumulation area; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)";NZDT;13;0;y;30.11;1.04;1;;;;;;
Southern Great Plains;e13;Oklahoma, United States of America;36.605;-97.485;318;01.08.1997;;"BSRN station no: 27; Surface type: grass; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)";CDT;-5;0;y;11.03;4.11;1;;;;;;
Syowa;syo;Cosmonaut Sea;-69.005;39.589;18;01.01.1994;;"BSRN station no: 17; Surface type: sea ice; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669525; Station scientist: Hiroyuki Ogihara (antarctic@met.kishou.go.jp)";SYOT;3;0;n;;;;;;;;;
Sao Martinho da Serra;sms;Brazil;-29.4428;-53.8231;489;01.01.2006;;"BSRN station no: 70; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.693871; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)";BRT;-3;0;y;4.11;18.02;1;;;;;;
Tamanrasset;tam;Algeria;22.7903;5.5292;1385;01.03.2000;;"BSRN station no: 42; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669526; Station scientist: Mohamed Mimouni (m_mimouni_dz@yahoo.fr)";CET;1;0;n;;;;;;;;;
Tateno;tat;Japan;36.0581;140.1258;25;01.02.1996;;"BSRN station no: 16; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.669527; Station scientist: Osamu Ijima (ijima@met.kishou.go.jp)";JST;9;0;n;;;;;;;;;
Tiksi;tik;Siberia, Russia;71.5862;128.9188;48;08.06.2010;;"BSRN station no: 48; Surface type: tundra; Topography type: flat, rural; Station scientist: Vasilii Kustov (kustov@aari.ru)";YAKT;9;0;n;;;;;;;;;
Tiruvallur;tir;India;13.0923;79.9738;36;16.04.2014;;"BSRN Candidate. Station no: 59; Plain terrain, Soil: Red soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)";IST;5;30;n;;;;;;;;;
Toravere;tor;Estonia;58.254;26.462;70;01.01.1999;;"BSRN station no: 9; Surface type: grass; Topography type: flat, rural; Horizon from 1999 to 2001-06: doi:10.1594/PANGAEA.671374; Horizon after 2001-06: doi:10.1594/PANGAEA.671373; Station scientist: Ain Kallis (kallis@aai.ee)";EST;2;0;y;25.03;28.1;1;;;;;;
Xianghe;xia;China;39.754;116.962;32;01.01.2005;;"BSRN station no: 44; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669528; Station scientist: Xiangao Xia (xxa@mail.iap.ac.cn) ** Stopped being part of BSRN in 2016, station obstructed **";CST;8;0;n;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
